13:13:34  [ERROR] 'IMAGE' 열은  테이블에 속하지 않습니다.
13:14:46  [ERROR] 'IMAGE' 열은  테이블에 속하지 않습니다.
13:33:35  [ERROR] 'IMAGE' 열은  테이블에 속하지 않습니다.
13:36:38  [ERROR] 'IMAGE' 열은  테이블에 속하지 않습니다.
13:37:16  [ERROR] 'IMAGE' 열은  테이블에 속하지 않습니다.
13:39:08  [ERROR] 'IMAGE' 열은  테이블에 속하지 않습니다.
13:46:54  [ERROR] 'IMAGE' 열은  테이블에 속하지 않습니다.
13:47:26  [ERROR] 'IMAGE' 열은  테이블에 속하지 않습니다.
13:47:56  [ERROR] 'IMAGE' 열은  테이블에 속하지 않습니다.
17:09:52  [ERROR] 서버로부터 결과를 수신하는 동안 전송 수준 오류가 발생했습니다. (provider: TCP Provider, error: 0 - 세마포 제한 시간이 만료되었습니다.)
17:10:01  [ERROR] SQL Server에 연결을 설정하는 중에 네트워크 관련 또는 인스턴스 관련 오류가 발생했습니다. 서버를 찾을 수 없거나 액세스할 수 없습니다. 인스턴스 이름이 올바르고 SQL Server가 원격 연결을 허용하도록 구성되어 있는지 확인하십시오. (provider: TCP Provider, error: 0 - 알려진 호스트가 없습니다.)
17:10:01  [ERROR] SQL Server에 연결을 설정하는 중에 네트워크 관련 또는 인스턴스 관련 오류가 발생했습니다. 서버를 찾을 수 없거나 액세스할 수 없습니다. 인스턴스 이름이 올바르고 SQL Server가 원격 연결을 허용하도록 구성되어 있는지 확인하십시오. (provider: TCP Provider, error: 0 - 알려진 호스트가 없습니다.)
17:10:17  [ERROR] SQL Server에 연결을 설정하는 중에 네트워크 관련 또는 인스턴스 관련 오류가 발생했습니다. 서버를 찾을 수 없거나 액세스할 수 없습니다. 인스턴스 이름이 올바르고 SQL Server가 원격 연결을 허용하도록 구성되어 있는지 확인하십시오. (provider: TCP Provider, error: 0 - 알려진 호스트가 없습니다.)
17:10:17  [ERROR] SQL Server에 연결을 설정하는 중에 네트워크 관련 또는 인스턴스 관련 오류가 발생했습니다. 서버를 찾을 수 없거나 액세스할 수 없습니다. 인스턴스 이름이 올바르고 SQL Server가 원격 연결을 허용하도록 구성되어 있는지 확인하십시오. (provider: TCP Provider, error: 0 - 알려진 호스트가 없습니다.)
17:12:59  [ERROR] 서버로부터 결과를 수신하는 동안 전송 수준 오류가 발생했습니다. (provider: TCP Provider, error: 0 - 세마포 제한 시간이 만료되었습니다.)
17:13:09  [ERROR] SQL Server에 연결을 설정하는 중에 네트워크 관련 또는 인스턴스 관련 오류가 발생했습니다. 서버를 찾을 수 없거나 액세스할 수 없습니다. 인스턴스 이름이 올바르고 SQL Server가 원격 연결을 허용하도록 구성되어 있는지 확인하십시오. (provider: TCP Provider, error: 0 - 알려진 호스트가 없습니다.)
17:13:09  [ERROR] SQL Server에 연결을 설정하는 중에 네트워크 관련 또는 인스턴스 관련 오류가 발생했습니다. 서버를 찾을 수 없거나 액세스할 수 없습니다. 인스턴스 이름이 올바르고 SQL Server가 원격 연결을 허용하도록 구성되어 있는지 확인하십시오. (provider: TCP Provider, error: 0 - 알려진 호스트가 없습니다.)
17:13:25  [ERROR] SQL Server에 연결을 설정하는 중에 네트워크 관련 또는 인스턴스 관련 오류가 발생했습니다. 서버를 찾을 수 없거나 액세스할 수 없습니다. 인스턴스 이름이 올바르고 SQL Server가 원격 연결을 허용하도록 구성되어 있는지 확인하십시오. (provider: TCP Provider, error: 0 - 알려진 호스트가 없습니다.)
17:13:25  [ERROR] SQL Server에 연결을 설정하는 중에 네트워크 관련 또는 인스턴스 관련 오류가 발생했습니다. 서버를 찾을 수 없거나 액세스할 수 없습니다. 인스턴스 이름이 올바르고 SQL Server가 원격 연결을 허용하도록 구성되어 있는지 확인하십시오. (provider: TCP Provider, error: 0 - 알려진 호스트가 없습니다.)
17:13:29  [ERROR] SQL Server에 연결을 설정하는 중에 네트워크 관련 또는 인스턴스 관련 오류가 발생했습니다. 서버를 찾을 수 없거나 액세스할 수 없습니다. 인스턴스 이름이 올바르고 SQL Server가 원격 연결을 허용하도록 구성되어 있는지 확인하십시오. (provider: TCP Provider, error: 0 - 알려진 호스트가 없습니다.)
